x,x,x^3,lg(x),ln(x),lg^2(x),ln(ln(x)),xlg(x),x^(1/lg(x)),2^x,e^x,x!
84,84.00000,592704.00000,6.39232,4.43082,40.86172,1.48858,536.95466,2.00000,19342813113834066795298816.00000,3025077322201128822580388649077047296.00000,
85,85.00000,614125.00000,6.40939,4.44265,41.08029,1.49125,544.79823,2.00000,38685626227668133590597632.00000,8223012714622876333023000461366525952.00000,
86,86.00000,636056.00000,6.42626,4.45435,41.29688,1.49388,552.65877,2.00000,77371252455336267181195264.00000,22352466037347048226875356241872289792.00000,
87,87.00000,658503.00000,6.44294,4.46591,41.51152,1.49647,560.53608,2.00000,154742504910672534362390528.00000,60760302250568440325644365862757466112.00000,
88,88.00000,681472.00000,6.45943,4.47734,41.72426,1.49903,568.42998,2.00000,309485009821345068724781056.00000,165163625499399412467968371952313171968.00000,
89,89.00000,704969.00000,6.47573,4.48864,41.93512,1.50155,576.34028,2.00000,618970019642690137449562112.00000,448961281917432399288180478961340383232.00000,
90,90.00000,729000.00000,6.49185,4.49981,42.14416,1.50404,584.26678,2.00000,1237940039285380274899124224.00000,1220403294317834959780350540575062097920.00000,
91,91.00000,753571.00000,6.50779,4.51086,42.35139,1.50649,592.20931,2.00000,2475880078570760549798248448.00000,3317400098335726568754046738728986083328.00000,
92,92.00000,778688.00000,6.52356,4.52179,42.55686,1.50891,600.16770,2.00000,4951760157141521099596496896.00000,9017628405034254803323078735059937656832.00000,
93,93.00000,804357.00000,6.53916,4.53260,42.76060,1.51130,608.14177,2.00000,9903520314283042199192993792.00000,24512455429200736600104304951933005725696.00000,
94,94.00000,830584.00000,6.55459,4.54329,42.96264,1.51365,616.13135,2.00000,19807040628566084398385987584.00000,66631762164108625187807900424177312595968.00000,
95,95.00000,857375.00000,6.56986,4.55388,43.16300,1.51598,624.13628,2.00000,39614081257132168796771975168.00000,181123908288901412989254858810215337295872.00000,
96,96.00000,884736.00000,6.58496,4.56435,43.36173,1.51828,632.15640,2.00000,79228162514264337593543950336.00000,492345828601203325971498249392530290376704.00000,
97,97.00000,912673.00000,6.59991,4.57471,43.55885,1.52054,640.19155,2.00000,158456325028528675187087900672.00000,1338334719204262595466015369725105584209920.00000,
98,98.00000,941192.00000,6.61471,4.58497,43.75439,1.52278,648.24156,2.00000,316912650057057350374175801344.00000,3637970947608785616210958681727300441997312.00000,
99,99.00000,970299.00000,6.62936,4.59512,43.94837,1.52499,656.30631,2.00000,633825300114114700748351602688.00000,9889030319346894696993602468739207649034240.00000,
100,100.00000,1000000.00000,6.64386,4.60517,44.14083,1.52718,664.38562,2.00000,1267650600228229401496703205376.00000,26881171418161211504307522887084350346625024.00000,
